OBJECTID,BoroName,hour12
1,Brooklyn,2
2,Brooklyn,2
3,Brooklyn,3
4,Brooklyn,3
5,Brooklyn,4
6,Brooklyn,4
7,Brooklyn,4
8,Brooklyn,5
9,Brooklyn,5
10,Brooklyn,5
11,Brooklyn,5
12,Brooklyn,5
13,Brooklyn,5
14,Brooklyn,6
15,Brooklyn,6
16,Brooklyn,6
17,Brooklyn,6
18,Brooklyn,6
19,Brooklyn,6
20,Brooklyn,7
21,Brooklyn,7
22,Brooklyn,7
23,Brooklyn,7
24,Brooklyn,7
25,Brooklyn,7
26,Brooklyn,7
27,Brooklyn,7
28,Brooklyn,7
29,Brooklyn,7
30,Brooklyn,7
31,Brooklyn,8
32,Brooklyn,8
33,Brooklyn,8
34,Brooklyn,8
35,Brooklyn,8
36,Brooklyn,8
37,Brooklyn,8
38,Brooklyn,8
39,Brooklyn,8
40,Brooklyn,9
41,Brooklyn,9
42,Brooklyn,9
43,Brooklyn,9
44,Brooklyn,9
45,Brooklyn,9
46,Brooklyn,9
47,Brooklyn,9
48,Brooklyn,9
49,Brooklyn,9
50,Brooklyn,9
51,Brooklyn,9
52,Brooklyn,10
53,Brooklyn,10
54,Brooklyn,10
55,Brooklyn,10
56,Brooklyn,10
57,Brooklyn,10
58,Brooklyn,10
59,Brooklyn,10
60,Brooklyn,10
61,Brooklyn,10
62,Brooklyn,11
63,Brooklyn,11
64,Brooklyn,11
65,Brooklyn,11
66,Brooklyn,11
67,Brooklyn,11
68,Brooklyn,11
69,Brooklyn,11
70,Brooklyn,12
71,Brooklyn,12
72,Brooklyn,12
73,Brooklyn,12
74,Brooklyn,12
75,Brooklyn,12
76,Brooklyn,12
77,Brooklyn,12
78,Brooklyn,12
79,Brooklyn,12
80,Brooklyn,12
81,Brooklyn,12
82,Brooklyn,12
83,Brooklyn,12
84,Brooklyn,13
85,Brooklyn,13
86,Brooklyn,13
87,Brooklyn,13
88,Brooklyn,13
89,Brooklyn,13
90,Brooklyn,13
91,Brooklyn,13
92,Brooklyn,13
93,Brooklyn,13
94,Brooklyn,13
95,Brooklyn,13
96,Brooklyn,13
97,Brooklyn,14
98,Brooklyn,14
99,Brooklyn,14
100,Brooklyn,14
101,Brooklyn,14
102,Brooklyn,14
103,Brooklyn,14
104,Brooklyn,14
105,Brooklyn,14
106,Brooklyn,14
107,Brooklyn,14
